ano,mes,partido,regiao,parlamentar,descricao,valor_documento,valor_glosa,valor_liquido
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,300.0,0.0,300.0
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,200.0,0.0,200.0
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,100.0,0.0,100.0
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,300.0,0.0,300.0
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,300.0,0.0,300.0
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,100.0,0.0,100.0
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,200.0,0.0,200.0
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,300.0,0.0,300.0
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,100.0,0.0,100.0
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,200.0,0.0,200.0
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,240.0,0.0,240.0
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,200.0,0.0,200.0
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,200.0,0.0,200.0
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,200.0,0.0,200.0
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,287.58,0.0,287.58
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,100.0,0.0,100.0
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,300.0,0.0,300.0
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,150.0,0.0,150.0
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,120.03,0.0,120.03
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,210.42,0.0,210.42
2020,2,REPUBLICANOS,Sudeste,P007,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,500.0,0.0,500.0
2020,1,REPUBLICANOS,Sudeste,P007,TELEFONIA,633.01,0.0,633.01
2020,1,REPUBLICANOS,Sudeste,P007,TELEFONIA,78.24,0.0,78.24
2020,1,REPUBLICANOS,Sudeste,P007,TELEFONIA,94.56,0.0,94.56
2020,1,REPUBLICANOS,Sudeste,P007,TELEFONIA,249.99,0.0,249.99
2020,2,REPUBLICANOS,Sudeste,P007,TELEFONIA,249.99,0.0,249.99
2020,1,REPUBLICANOS,Sudeste,P007,SERVIÇOS POSTAIS,4.9,0.0,4.9
2020,2,REPUBLICANOS,Sudeste,P007,SERVIÇOS POSTAIS,100.8,0.0,100.8
2020,3,REPUBLICANOS,Sudeste,P007,SERVIÇOS POSTAIS,126.0,0.0,126.0
2020,1,REPUBLICANOS,Sudeste,P007,SERVIÇOS POSTAIS,21.11,0.0,21.11
2020,3,REPUBLICANOS,Sudeste,P007,SERVIÇOS POSTAIS,349.94,0.0,349.94
2020,1,REPUBLICANOS,Sudeste,P007,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,105.1,72.7,32.4
